Fecha;Oferta;NumPedido;Cliente;Destino;Serie;L;A;H;EstBase;EstCubierta;EstPilar;Cubierta;PanelGrosor;PanelTipo;Base;Acabado;Suministro;Perfilado;ColorPanel;ColorEstructura;ColorCarpinteria;Notas;FolderPath;Impreso;Enviado;Entregado;TipoRegistro;Revision;RevHecha;NotasRev;FechasRev;Favorito;Carpeta;Modulo;Cantidad;Conjunto;Adosamiento
12/1/2026;OF -;109/26;MODULTO;JORY 1;35597-35601;4000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;KIT;GOF;#F5F5F5;#F5F5F5;#F5F5F5;CON PASO 200x70 A 1200MM;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
27/10/2025;OF -;29941/25;ALGECO;MANCOR DE LA VALL;34964;5840;2350;2500;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
27/10/2025;OF -;30020/25;CARMA OCASIÓN;SEGOVIA 16;34967;4000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;CUBIERTA PANEL;"\\192.168.1.222\Modulos\MÓDULOS\FABRICACION\PEDIDOS AÑO 2025\OF 30020 CARMA OCASION ---- OB. SEGOVIA 16";2;2;true;0;1;{};{};{};true;green;M1;1;false;
28/10/2025;OF -;29340/25;EUROBLOC;MECO 3;34961;4000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GN;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
28/10/2025;OF -;29340/25;EUROBLOC;MECO 3;34962;6000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GN;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M2;1;false;
29/10/2025;OF -;28319/25;LA FARGA;BARCELONA 10;34956-34960;4000;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;REMATES DE ADOSAMIENTO;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
30/10/2025;OF -;29505/25;METABOS;CARBAJOSA 1;34970;7840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};true;green;M1;1;false;
30/10/2025;OF -;29505/25;METABOS;CARBAJOSA 1;34969;5840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};true;green;M2;1;false;
31/10/2025;OF -;29444/25;ALQUILERES SOUSA;BADAJOZ 2;34974;7840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
31/10/2025;OF -;29723/25;PREFABRI;MADRID 17;34973;2000;2000;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GN;#293133;#293133;#F5F5F5;;;2;2;true;0;1;{};{};{};false;yellow;M1;1;false;
03/11/2025;OF -;29466/25;ALGECO;CONSTANTÍ 4;34953;5840;2350;2500;;;;ESTÁNDAR;40;PUR;HORMIGONADA;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;HORMIGÓN;;2;2;true;0;1;{};{};{};true;yellow;M1;1;false;
04/11/2025;OF -;30522/25;PREDES;SANT CELONI;34979;6000;2440;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;RJ45 SIN CABLEADO UTP;;2;2;true;0;1;{};{};{};true;green;M1;1;false;
04/11/2025;OF -;30207/25;MAYFE;MALLORCA 6;34977;6000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
05/11/2025;OF -;30139/25;MODULTO;JORY 25;34976;6000;3000;2275;;;;ESTÁNDAR;60;PUR;FIBROCEMENTO;;ARMADO;GN;#F5F5F5;#F5F5F5;#F5F5F5;DURIPANEL AISLAMIENTO BASE 40;;2;2;true;0;1;{};{};{};false;orange;M1;1;false;
06/11/2025;OF -;28822/25;BRAÑA RICA;A CORUÑA 5;35098;4000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
07/11/2025;OF -;29449/25;BEXBE;GERONA 22;34954;6800;2350;2500;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GN;#59351F;#0A0A0A;#0A0A0A;PANEL MADERA + PUERTAS HPL;;2;2;true;0;1;{};{};{};false;orange;M1;1;false;
07/11/2025;OF -;29449/25;BEXBE;GERONA 22;34955;6000;2350;2500;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GN;#59351F;#0A0A0A;#0A0A0A;PANEL MADERA + PUERTAS HPL;;2;2;true;0;1;{};{};{};false;orange;M2;1;false;
10/11/2025;OF -;29228/25;GESMAGAL;VILABOA;35154;1190;1190;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;AIS WC MINI;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
11/11/2025;OF -;30911/25;FERRERO MOTOR;MADRID 18;35155-35156;4000;2350;2275;;;;ESTÁNDAR;;;HIDRÓFUGO;SINTASOL;KIT;;;#F5F5F5;;SOLO ESTRUCTURA;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
11/11/2025;OF -;30911/25;FERRERO MOTOR;MADRID 18;35157-35158;6000;2350;2275;;;;ESTÁNDAR;;;HIDRÓFUGO;SINTASOL;KIT;;;#F5F5F5;;SOLO ESTRUCTURA;;2;2;true;0;1;{};{};{};false;green;M2;1;false;
12/11/2025;OF -;31069/25;PÉREZ BELDA;MENORCA 3;35159-35160;6000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;ALZADO FIJOS;;2;2;true;0;1;{};{};{};false;yellow;M1;1;false;
13/11/2025;OF -;30815/25;ALMA NÓRDICA;CUNTIS 2;35235-35236;6000;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;REMATES DE ADOSAMIENTO;;2;2;true;0;1;{};{};{};false;yellow;M1;1;false;
13/11/2025;OF -;31832/25;MAYFE;MALLORCA 8;35281;6000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
14/11/2025;OF -;31835/25;BEXBE;GERONA 23;35282;6000;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
14/11/2025;OF -;24526/25;ANMAR;TARRAGONA 17;35283;4300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{};{};{};false;green;M1;1;false;
